timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605526788711,1075,SLP: Search listing Page,200,OK,Amazon_Thread group 1-2,text,true,,129444,422,95,95,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,238,0,0
1605526788061,1730,Cart Page,200,OK,Amazon_Thread group 1-58,text,true,,79401,427,94,94,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,748,0,43
1605526788169,1684,Amazon HomePage,200,OK,Amazon_Thread group 1-98,text,true,,99659,391,94,94,https://www.amazon.com/,318,0,47
1605526788709,1178,SLP: Search listing Page,200,OK,Amazon_Thread group 1-4,text,true,,136224,422,94,94,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,247,0,0
1605526788555,1334,Today's Deals,200,OK,Amazon_Thread group 1-88,text,true,,113476,465,93,93,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,747,0,43
1605526788864,1035,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-35,text,true,,74750,464,93,93,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,450,0,0
1605526788590,1337,Cart Page,200,OK,Amazon_Thread group 1-61,text,true,,77611,427,93,93,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,358,0,39
1605526788070,1857,Amazon HomePage,200,OK,Amazon_Thread group 1-96,text,true,,98467,391,93,93,https://www.amazon.com/,293,0,50
1605526788793,1144,SLP: Search listing Page,200,OK,Amazon_Thread group 1-16,text,true,,130142,422,93,93,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,244,0,0
1605526788530,1432,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-11,text,true,,71653,464,92,92,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,458,0,0
1605526788960,1019,Cart Page,200,OK,Amazon_Thread group 1-68,text,true,,76543,427,92,92,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,354,0,36
1605526789035,947,SLP: Search listing Page,200,OK,Amazon_Thread group 1-1,text,true,,138382,422,92,92,https://www.amazon.com/s?k=apple&ref=nb_sb_noss_2,241,0,0
1605526788454,1532,Cart Page,200,OK,Amazon_Thread group 1-43,text,true,,76503,427,91,91,https://www.amazon.com/gp/cart/view.html?ref_=nav_cart,359,0,47
1605526786892,3101,Today's Deals,200,OK,Amazon_Thread group 1-55,text,true,,119580,465,91,91,https://www.amazon.com/international-sales-offers/b/?ie=UTF8&node=15529609011&ref_=nav_cs_gb_intl,1348,0,38
1605526788533,1468,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-37,text,true,,71168,464,91,91,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,493,0,0
1605526788967,1065,Category page: Smart Home/Television,200,OK,Amazon_Thread group 1-38,text,true,,72436,464,91,91,https://www.amazon.com/gp/browse.html?node=16713338011&ref_=nav_em_sbdshd_tv_video_0_2_7_10,452,0,0
